127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/plugins/zencoding/zencoding.js, HTTP/1.1, 200, 0.037667
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.044591
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.037745
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.047043
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/plugins/zencoding/langs/en.js, HTTP/1.1, 200, 0.040442
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.006941
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.002391
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.005072
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.002429
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.040824
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.023624
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.002554
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.017913
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.003662
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.026880
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.028382
127.0.0.1, 2011-11-10 15:53:29, GET, /admin/static/edit_area/plugins/zencoding/core.js, HTTP/1.1, 200, 0.002770
127.0.0.1, 2011-11-10 15:53:38, POST, /admin/default/edit/Testapp/views/default/eigenesmodul.html, HTTP/1.1, 200, 0.149838
127.0.0.1, 2011-11-10 15:53:38, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.092175
127.0.0.1, 2011-11-16 21:06:57, GET, /, HTTP/1.1, 303, 0.001173
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/default/index, HTTP/1.1, 200, 1.634953
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000573
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/js/anytime.js, HTTP/1.1, 200, 0.001079
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001412
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.000669
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/css/anytime.css, HTTP/1.1, 200, 0.002599
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001964
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.002291
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001035
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000986
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.002447
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000610
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000583
127.0.0.1, 2011-11-16 21:06:59, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000587
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.165376
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000417
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000421
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.001267
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002095
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2011-11-16 21:30:57, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.004385
127.0.0.1, 2011-11-16 21:30:58, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000419
127.0.0.1, 2011-11-16 21:30:58, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2011-11-16 21:30:58, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000358
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/default/index, HTTP/1.1, 200, 0.665861
